LA VITA PRIVATA DAL RINASCIMENTO ALL'ILLUMINISMO;ARIES PHILIPPE DUBY GEORGES;STORIA
OPERE;ARIOSTO;CLASSICI
ORLANDO FURIOSO;ARIOSTO;CLASSICI
ORLANDO FURIOSO;ARIOSTO;CLASSICI
Orlando Furioso I;Ariosto Ludovico;CLASSICI
Orlando Furioso II;Ariosto Ludovico;CLASSICI
COMMEDIE;ARISTOFANE;CLASSICI
UN CADAVERE AL GIORNO;ARMSTRONG CHARLOTTE;GIALLO
BITTEN LA NOTTE DEI LUPI;ARMSTRONG KELLEY;NARRATIVA
LE NUOVE FILASTROCCHE;ARPINO;NARR. BAMBINI
LA SPOSA SEGRETA;ARPINO GIOVANNI;NARRATIVA ROSA
LA TRAPPOLA AMOROSA;ARPINO GIOVANNI;NARRATIVA ROSA 
IL LIBRO DELLA STREGA MODERNA;ASCHER ULRIKE;SPIRITUALITA'
IACOBUS;ASENSI MATILDE;NARRATIVA
IL CLUB DEI VEDOVI NERI;ASIMOV ISAAC;GIALLO
IL LUNGO SGUARDO;ASSOCIAZIONE FUTURA-ONLUS;
SCIENZE BIOLOGICHE;ASTRONOMIA-GEOLOGIA-GEOFISICA-CHIMICA I;ENCICLOPEDIA
SCIENZE BIOLOGICHE;ASTRONOMIA-GEOLOGIA-GEOFISICA-CHIMICA II;ENCICLOPEDIA
GINO IL PULCINO;ATTILIO E KAREN;NARR. RAGAZZI
FOCOLARI DI PIETRA;AUEL JEAN M.;NARRATIVA
INCHIESTA SU GESU';AUGIAS CORRADO;NARRATIVA
MANSFIELD PARK;AUSTEN;CLASSICI
RAGIONE E SENTIMENTO;AUSTEN JANE;CLASSICI
CACCIATRICE DI TERRORISTI;AUTRICE ANONIMA;NARRATIVA
ACCIAIO;AVALLONE SILVIA;NARRATIVA
SISSI;AVRIL NICOLE;BIOGRAFIE
I medici dei lager - vol. 1;Aziz Philippe;STORIA
I medici dei lager - vol. 1;Aziz Philippe;STORIA
I medici dei lager - vol. 1;Aziz Philippe;STORIA
CREMONA MOMENTI DI UNA CITTA';AZZOLINI- DONDI;Storia dell'arte
PALAZZI DEL CINQUECENTO A CREMONA;AZZOLINI LIDIA;Storia dell'arte
LA STRANA SCOMPARSA DEL SIGNOR GOODY;BABBITT NATALIE;GIALLO JUNIOR
IL FILO NERO;BACCA GORGIO;NARRATIVA
Stradivari;Bacchetta Renzo;Territorio cremonese/lombardo
UNO;BACH RICHARD;NARRATIVA
IL SILENZIO DELLE OSSA;BADEN MICHAEL KENNEY LINDA;NARRATIVA
RIFLESSI DI MORTE;BAER NEAL;NARRATIVA
ERRORE FATALE;BAGLEY D.;NARRATIVA
IL SANTO GRAAL;BAIGENT MICHAEL;NARRATIVA
TUTTO PER UNA FOTO;BALAN;NARR. RAGAZZI
IL CONTROLLO TOTALE;BALDACCI DAVID;NARRATIVA
IL GIOCO DI ZODIAC;BALDACCI DAVID;NARRATIVA
LA SEMPLICE VERITA';BALDACCI DAVID;NARRATIVA
L'INNOCENTE;BALDACCI DAVID;THRILLER
L'ULTIMO EROE;BALDACCI DAVID;NARRATIVA
SIA FATTA LA TUA VOLONTA';BALDI STEFANO;NARRATIVA ROSA
NON NOBIS DOMINE;BALDINI DRAGHETTI;NARRATIVA
VIRGIL TIBBS CINQUE GIADE PREZIOSE;BALL JOHN;GIALLO
SUPER-CANNES;BALLARD J.G.;NARRATIVA
NEL VORTICE DEL TEMPO;BALLINGER BILL S.;GIALLO
L'ULTIMO VALZER;BALOGH MARY;NARRATIVA ROSA
I CAPOLAVORI DELLA COMMEDIA;BALZAC;CLASSICI
I CAPOLAVORI DELLA COMMEDIA ;BALZAC;CLASSICI
LA PELLE DI ZIGRINO-LA RICERCA;BALZAC;CLASSICI
MEMORIE DI DUE GIOVANI SPOSE;BALZAC;CLASSICI
PAPA' GORIOT;BALZAC;CLASSICI
TRE RACCONTI;BALZAC;CLASSICI
STELLA;BAMBAREN;NARR. BAMBINI
SERENA;BAMBAREN SERGIO;NARR. BAMBINI
LA CAMICIA BRUCIATA;BANTI ANNA;NARRATIVA
IL MONDO DEGLI ETRUSCHI;BANTI LUISA;STORIA
I GIORNI DELL'ADDIO;BARBER NOEL;NARRATIVA ROSA
SONO STATA SPIEGATA?;BARBERA ANNA MARIA;NARRATIVA
L'ELEGANZA DEL RICCIO;BARBERY MURIEL;NARRATIVA
IL SORTILEGIO DEL CORVO;BARCLAY JAMES;NARRATIVA
LA COMPAGNIA DEL CORVO;BARCLAY JAMES;NARRATIVA
LA NOTTE DEL CORVO;BARCLAY JAMES;NARRATIVA
CARLO AZELIO CIAMPI A CREMONA;BARDELLI ALBERTO;STORIA
CASTELLI DI RABBIA;BARICCO A.;NARRATIVA
CITY;BARICCO A.;NARRATIVA
OCEANO MARE;BARICCO A.;NARRATIVA
SETA;BARICCO A.;NARRATIVA
Cascine frammenti del ricordo - volumi 2;Barisani-Piccolo-Ruggeri;Territorio cremonese/lombardo
Mulini;Barisani-Piccolo-Ruggeri;Territorio cremonese/lombardo
GALILEE;BARKER CLIVE;NARRATIVA
FATTI SOTTO MICKEY SHARP;BARKER DOMINIC;NARR. RAGAZZI
RIDERE FATTI SOTTO,MICKEY SHARP;BARKER DOMINIC;NARR. RAGAZZI
CARA CAMILLA LO AMO MA LUI……;BARLOW-SKIDMORE;NARR. RAGAZZI
SE IO SONO GIULIETTA E TU ROMEO …….;BARLOW-SKIDMORE;NARR. RAGAZZI
CON TE FINO ALLA FINE DEL MONDO;BARREAU NICOLAS;NARRATIVA ROSA
GLI INGREDIENTI SEGRETI DELL'AMORE;BARREAU NICOLAS;NARRATIVA ROSA
PARIGI E' SEMPRE UNA BUONA IDEA;BARREAU NICOLAS;NARRATIVA ROSA
FINCHE' AMORE NON CI SEPARI;BARRETT MARY ELLIN;NARRATIVA
LA LETTRICE BUGIARDA;BARRY BRUNONIA;NARRATIVA ROSA
LOGO LAND;BARRY MAX;THRILLER
RIGOR MORTIS;BASS JENNIFER;THRILLER
Le acque di superficie del territorio cremasco;Bassi Giovanni;Territorio cremonese/lombardo
STORIA DELLA RESISTENZA ITALIANA;BATTAGLIA ROBERTO;STORIA
CIELO CHIARO;BATTAGLIA ROMANO;NARRATIVA
UNA ROSA DAL MARE;BATTAGLIA ROMANO;NARRATIVA
I FIORI DEL MALE;BAUDELAIRE;CLASSICI
I FIORI DEL MALE-POEMETTI IN P;BAUDELAIRE;CLASSICI
SE CUPIDO MI DESSE UNA MANO;BAUER JOAN;NARR. RAGAZZI
IL MERAVIGLIOSO MAGO DI OZ;BAUM LYMAN FRANK;NARR. BAMBINI
IL MISTERO DI ORIONE;BAUVAL-GILBERT;NARRATIVA
Armonie - i segni della musica;Bavagnoli Carlo;Storia dell'arte
AGHATA RAISON E IL MATRIMOMIO ASSASSINO;BEATON M.C;NARRATIVA
GLI ANIMALI DEI CAMPI;BEAUMONT E.;NARR. BAMBINI
GLI ANIMALI DEL MARE;BEAUMONT E.;NARR. BAMBINI
GLI ANIMALI DELLA FORESTA;BEAUMONT E.;NARR. BAMBINI
GLI ANIMALI FEROCI;BEAUMONT E.;NARR. BAMBINI
I CANI;BEAUMONT E.;NARR. BAMBINI
I VULCANI;BEAUMONT E.;NARR. BAMBINI
IL MEDIOEVO;BEAUMONT E.;NARR. BAMBINI
IL TUO PRIMO LIBRO DEI PONY E DEL CAVALLO;BEAUMONT E.;NARR. RAGAZZI
IL TUO PRIMO LIBRO DELLA TERRA;BEAUMONT E.;NARR. BAMBINI
LA FORESTA;BEAUMONT E.;NARR. BAMBINI
L'EGITTO ANTICO;BEAUMONT E.;NARR. BAMBINI
DEI DELITTI E DELLE PENE;BECCARIA CESARE;NARRATIVA
IL FUTURO SPEZZATO;BECCARIA ROLFI-MAIDA;NARRATIVA
LA FINE DEI TEMPLARI;BECK ANDREAS;NARRATIVA
GLI ANIMALI DELLA SAVANA;BECK PAUL;NARR. RAGAZZI
LA CHIMICA DELLA M.;BECKETT;THRILLER
SCRITTO NELLE OSSA;BECKETT;THRILLER
LA VOCE DEI MORTI;BECKETT  SIMON;THRILLER
I SUSSURRI DELLA MORTE;BECKETT SIMON;THRILLER
LA CAPANNA DELLO ZIO TOM;BEECHER;NARR. RAGAZZI
L'ULTIMO IMPERATORE;BEHR EDWARD;NARRATIVA
LA NOTTE DI HALLOWEEN;BELLAZZI LAURA;NARR. RAGAZZI
RINASCIMENTO PRIVATO;BELLONCI MARIA;NARRATIVA
TEATRO SCELTO;BENAVENTE;CLASSICI
IL SEGRETO DI NINKINANKA;BENGASOKHNA;NARRATIVA
LA MOGLIE DELL'AVIATORE;BENJAMIN MELANIE;NARRATIVA
DI TUTTE LE RICCHEZZE;BENNI STEFANO;NARRATIVA
LE BEATRICI;BENNI STEFANO;NARRATIVA
MARGHERITA DOLCE VITA;BENNI STEFANO;NARR. RAGAZZI
PANE E TEMPESTA;BENNI STEFANO;NARRATIVA
TARRA!;BENNI STEFANO;NARR. RAGAZZI
LA VEDOVA DEL MILIARDARIO;BENTLEY E. C.;GIALLI VARI
Castelleone ottavo centario di fondazione;Berbieri don Mario;Territorio cremonese/lombardo
CONVERSAZIONI PRIVATE ;BERGMAN INGRID;NARRATIVA
IL SETTIMO SIGILLO ;BERGMAN INGRID;NARRATIVA
LANTERNA MAGICA ;BERGMAN INGRID;NARRATIVA
DELITTO AI PIANI ALTI;BERKELEY ANTHONY;I CLASSICI DEL GIALLO - A
IL VELENO DI WYCHFORD;BERKELEY ANTHONY;I CLASSICI DEL GIALLO - B
IL VELENO E' SERVITO;BERKELRY ANTONY;GIALLO
L'ULTIMA TAPPA;BERKELRY ANTONY;GIALLO
LA NAVE PERDUTA DI NOE';BERLITZ CHARLES;NARRATIVA
Francesco 1° di Francia prigioniero a Pizzighettone;Bernocchi Franco;Territorio cremonese/lombardo
FRANCESCO I DI FRANCIA PRIGIONIERO A PIZZIGHETTONE;BERNOCCHI FRANCO;STORIA
Guido Miglioli dal 1945 alla morte nella stampa cremonese;Bernocchi Franco;Territorio cremonese/lombardo
Storia di Pizzighettone;Bernocchi Franco;Territorio cremonese/lombardo
IL SEPOLCRO SEGRETO;BERRY STEVE;NARRATIVA
IL SIGILLO DEI TRADITORI;BERRY STEVE;NARRATIVA
IL TESORO DELL'IMPERATORE;BERRY STEVE;NARRATIVA
L' ESERCITO FANTASMA;BERRY STEVE;NARRATIVA
L' ULTIMA COSPIRAZIONE;BERRY STEVE;THRILLER
LE CENERI DI ALESSANDRIA;BERRY STEVE;THRILLER
L'OMRA DEL LEONE;BERRY STEVE;NARRATIVA
L'ULTIMA COSPIRAZIONE;BERRY STEVE;NARRATIVA
WINX VACANZE FATETE;BERTARINI MARIA GRAZIA;NARR. RAGAZZI
CASTELLI E DIFESE DELLA PROVINCIA DI CREMONA;BERTINELLI CARLA;Geografia
LA COLLEZIONE DI PORCELLANE ORIENTALI ALA PONZONE;BERTOLDI CRISTIANA;Storia dell'arte
IL CARNEFICE;BERTUZZI FRANCESCA;THRILLER
COME ALLORA,LILI MARLEEN;BESANA RENATO STAGLIERO MARCELLO;NARRATIVA
QUESTA SPECIE D'AMORE;BEVILACQUA;NARRATIVA ROSA
LA CALIFFA;BEVILACQUA ALBERTO;NARRATIVA
